Nombre_Articulo,Nombre_Producto,Nombre_Color,PeriodoMes,Tipo,Unidades,Valor_USD
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202002,Continuo,21,1173.62
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202003,Continuo,3,168.7
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202005,Continuo,7,433.99
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202006,Continuo,21,1169.53
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202007,Continuo,13,720.32
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202008,Continuo,29,1555.54
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202009,Continuo,40,2176
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202010,Continuo,18,1033.94
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202011,Continuo,16,958.28
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202012,Continuo,18,1014.86
Fuentes,FUENTE REGGIO BONE,BONE,202001,Continuo,23,872.58
Fuentes,FUENTE REGGIO BONE,BONE,202002,Continuo,49,1845.72
Fuentes,FUENTE REGGIO BONE,BONE,202003,Continuo,35,1332.12
Fuentes,FUENTE REGGIO BONE,BONE,202005,Continuo,2,105.91
Fuentes,FUENTE REGGIO BONE,BONE,202007,Continuo,32,1476.61
Fuentes,FUENTE REGGIO BONE,BONE,202008,Continuo,26,1200.55
Fuentes,FUENTE REGGIO BONE,BONE,202009,Continuo,,
Fuentes,FUENTE REGGIO BONE,BONE,202010,Continuo,15,741.72
Fuentes,FUENTE REGGIO BONE,BONE,202011,Continuo,35,1756.88
Fuentes,FUENTE REGGIO BONE,BONE,202012,Continuo,24,744.19
Fuentes,FUENTE REGGIO COTTON,BLANCO TOTO,202002,Esporadico,1,65.92
Fuentes,FUENTE REGGIO COTTON,BLANCO TOTO,202008,Esporadico,1,64.59
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202001,Esporadico,9,570.85
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202002,Esporadico,8,484.31
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202006,Esporadico,9,511.24
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202007,Esporadico,4,279.9
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202008,Esporadico,3,191.84
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202009,Esporadico,8,494.07
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202010,Esporadico,8,483.24
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202011,Esporadico,3,206.02
Fuentes,FUENTE RIVOLI BLANCO,BLANCO,202012,Esporadico,20,1275.19
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202001,Continuo,,
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202002,Continuo,33,2338.14
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202003,Continuo,5,360.7
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202005,Continuo,5,413.3
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202006,Continuo,22,1754.63
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202007,Continuo,40,2745.71
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202008,Continuo,24,1788.67
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202009,Continuo,47,3300.4
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202010,Continuo,46,3512.42
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202011,Continuo,23,1837.45
Fuentes,FUENTE ROUND SLIM FAUCET IN BLANCO,BLANCO,202012,Continuo,21,1472.58
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202001,Continuo,98,4829.17
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202002,Continuo,69,3411.7
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202003,Continuo,28,1400.03
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202005,Continuo,3,151.04
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202006,Continuo,38,1942.09
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202007,Continuo,68,3521.76
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202008,Continuo,48,2473.03
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202009,Continuo,94,4756.82
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202010,Continuo,117,5878.57
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202011,Continuo,44,2263.59
Fuentes,FUENTE SQUARE SLIM BLANCO,BLANCO,202012,Continuo,88,4304.37
Fuentes,FUENTE SQUARE SLIM BLANCO CAJA BRIGGS,BLANCO,202005,Esporadico,1,38.33
Fuentes,FUENTE SQUARE SLIM BLANCO CAJA BRIGGS,BLANCO,202006,Esporadico,9,371.65
Fuentes,FUENTE SQUARE SLIM BLANCO CAJA BRIGGS,BLANCO,202007,Esporadico,139,5328.01
Fuentes,FUENTE SQUARE SLIM BLANCO CAJA BRIGGS,BLANCO,202008,Esporadico,292,11192.66
Fuentes,FUENTE SQUARE SLIM BLANCO CAJA BRIGGS,BLANCO,202009,Esporadico,255,9774.41
Fuentes,FUENTE SQUARE SLIM BLANCO CAJA BRIGGS,BLANCO,202011,Esporadico,1,65
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202001,Continuo,224,6208.14
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202002,Continuo,229,7168.72
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202003,Continuo,81,2567.39
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202004,Continuo,4,125.72
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202005,Continuo,24,760.77
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202006,Continuo,177,5334
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202007,Continuo,163,5016.06
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202008,Continuo,188,5974.79
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202009,Continuo,193,6040.48
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202010,Continuo,191,6154.6
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202011,Continuo,241,7321.29
Lavamano,JGO LAVATORIO ASPIO PLUS BLANCO,BLANCO,202012,Continuo,213,6824.65
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202001,Continuo,86,2960.27
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202002,Continuo,90,3190.38
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202003,Continuo,24,827.85
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202004,Continuo,4,138.32
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202005,Continuo,12,422.8
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202006,Continuo,91,3120.09
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202007,Continuo,74,2549.23
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202008,Continuo,111,3527.68
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202009,Continuo,125,4386.92
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202010,Continuo,65,2331.65
